,연도,날짜,시간,경기,게임센터,하이라이트,TV,라디오,구장,비고,시리즈
437,2018,,17:00,롯데13vs7SK,리뷰,하이라이트,SPO-T,KNN-RPM-R,문학,-,"0,9"
438,2018,,17:00,삼성8vs12넥센,리뷰,하이라이트,SPO-2T,T-R,고척,-,"0,9"
439,2018,,17:00,두산6vs11한화,리뷰,하이라이트,SS-TD-CMB,TJ-R,대전,-,"0,9"
440,2018,06.19(화),18:30,넥센6vs5두산,리뷰,하이라이트,SPO-2T,,잠실,-,"0,9"
441,2018,,18:30,SK6vs6삼성,리뷰,하이라이트,SPO-T,T-R,대구,-,"0,9"
442,2018,,18:30,롯데9vs7KT,리뷰,하이라이트,SS-T,KNN-RPM-R,수원,-,"0,9"
443,2018,,18:30,NCvsKIA,,,MS-TK-CMB,KNN-RKBC-R,광주,우천취소,"0,9"
444,2018,,18:30,LG4vs0한화,리뷰,하이라이트,KN-TD-CMB,TJ-R,청주,-,"0,9"
445,2018,06.20(수),18:30,넥센8vs5두산,리뷰,하이라이트,SPO-2T,,잠실,-,"0,9"
446,2018,,18:30,SK4vs6삼성,리뷰,하이라이트,SPO-T,T-RDM-R,대구,-,"0,9"
447,2018,,18:30,롯데11vs4KT,리뷰,하이라이트,SS-T,KNN-RPM-R,수원,-,"0,9"
448,2018,,18:30,NC5vs6KIA,리뷰,하이라이트,MS-TK-CMB,KNN-RKBC-R,광주,-,"0,9"
449,2018,,18:30,LG7vs11한화,리뷰,하이라이트,KN-TD-CMB,TJ-R,청주,-,"0,9"
450,2018,06.21(목),18:30,넥센3vs9두산,리뷰,하이라이트,SPO-2T,,잠실,-,"0,9"
451,2018,,18:30,SK5vs1삼성,리뷰,하이라이트,SPO-T,T-RDM-R,대구,-,"0,9"
452,2018,,18:30,롯데5vs5KT,리뷰,하이라이트,SS-T,KNN-RPM-R,수원,-,"0,9"
453,2018,,18:30,NC7vs4KIA,리뷰,하이라이트,MS-TK-CMB,KNN-RKBC-R,광주,-,"0,9"
454,2018,,18:30,LG6vs9한화,리뷰,하이라이트,KN-TD-CMB,TJ-R,청주,-,"0,9"
455,2018,06.22(금),18:30,한화5vs0NC,리뷰,하이라이트,KN-T,KNN-RGM-R,마산,-,"0,9"
456,2018,,18:30,롯데1vs2LG,리뷰,하이라이트,SS-T,KNN-RPM-R,잠실,-,"0,9"
457,2018,,18:30,두산14vs16삼성,리뷰,하이라이트,SPO-T,T-R,대구,-,"0,9"
458,2018,,18:30,SK13vs9KT,리뷰,하이라이트,SPO-2T,,수원,-,"0,9"
459,2018,,18:30,KIA8vs5넥센,리뷰,하이라이트,MS-T,,고척,-,"0,9"
460,2018,06.23(토),17:00,한화8vs1NC,리뷰,하이라이트,KN-T,KNN-RGM-R,마산,-,"0,9"
461,2018,,17:00,롯데8vs18LG,리뷰,하이라이트,SS-T,KNN-RPM-R,잠실,-,"0,9"
462,2018,,17:00,두산11vs4삼성,리뷰,하이라이트,SPO-T,T-R,대구,-,"0,9"
463,2018,,17:00,SK7vs4KT,리뷰,하이라이트,SPO-2T,,수원,-,"0,9"
464,2018,,17:00,KIA4vs9넥센,리뷰,하이라이트,MS-T,,고척,-,"0,9"
465,2018,06.24(일),17:00,한화5vs3NC,리뷰,하이라이트,KN-T,KNN-RGM-R,마산,-,"0,9"
466,2018,,17:00,롯데2vs2LG,리뷰,하이라이트,SS-T,KNN-RPM-R,잠실,-,"0,9"
467,2018,,17:00,두산12vs7삼성,리뷰,하이라이트,SPO-T,T-R,대구,-,"0,9"
468,2018,,17:00,SK0vs4KT,리뷰,하이라이트,SPO-2T,,수원,-,"0,9"
469,2018,,17:00,KIA14vs10넥센,리뷰,하이라이트,MS-T,,고척,-,"0,9"
470,2018,06.26(화),18:30,두산4vs5NC,리뷰,하이라이트,SS-T,KNN-RGM-R,마산,-,"0,9"
471,2018,,18:30,KTvsLG,,,SPO-T,,잠실,우천취소,"0,9"
472,2018,,18:30,KIAvsSK,,,SPO-2T,,문학,우천취소,"0,9"
473,2018,,18:30,넥센9vs3롯데,리뷰,하이라이트,KN-T,KNN-RPM-R,사직,-,"0,9"
474,2018,,18:30,삼성13vs2한화,리뷰,하이라이트,MS-TD-CMB,T-RTJ-RTM-RDK-R,대전,-,"0,9"
475,2018,06.27(수),18:30,두산6vs3NC,리뷰,하이라이트,SS-T,KNN-RGM-R,마산,-,"0,9"
476,2018,,18:30,KT2vs7LG,리뷰,하이라이트,SPO-T,,잠실,-,"0,9"
477,2018,,18:30,KIA2vs3SK,리뷰,하이라이트,SPO-2T,,문학,-,"0,9"
478,2018,,18:30,넥센8vs9롯데,리뷰,하이라이트,KN-T,KNN-RPM-R,사직,-,"0,9"
479,2018,,18:30,삼성0vs4한화,리뷰,하이라이트,MS-TD-CMB,T-RTJ-RTM-RDK-R,대전,-,"0,9"
480,2018,06.28(목),18:30,두산9vs0NC,리뷰,하이라이트,SS-T,KNN-RGM-R,마산,-,"0,9"
481,2018,,18:30,KTvsLG,,,SPO-T,,잠실,우천취소,"0,9"
482,2018,,18:30,KIAvsSK,,,SPO-2T,,문학,우천취소,"0,9"
483,2018,,18:30,넥센6vs8롯데,리뷰,하이라이트,KN-T,KNN-RPM-R,사직,-,"0,9"
484,2018,,18:30,삼성3vs8한화,리뷰,하이라이트,MS-TD-CMB,T-RTJ-RTM-RDK-R,대전,-,"0,9"
485,2018,06.29(금),18:30,KIA7vs4두산,리뷰,하이라이트,SPO-2T,,잠실,-,"0,9"
486,2018,,18:30,LG1vs10SK,리뷰,하이라이트,SS-T,,문학,-,"0,9"
487,2018,,18:30,넥센8vs7삼성,리뷰,하이라이트,KN-T,T-RDM-R,대구,-,"0,9"
488,2018,,18:30,NC3vs7KT,리뷰,하이라이트,SPO-T,KNN-R,수원,-,"0,9"
489,2018,,18:30,롯데2vs5한화,리뷰,하이라이트,MS-TD-CMB,TJ-RKNN-RTM-RPM-R,대전,-,"0,9"
490,2018,06.30(토),17:00,KIA2vs12두산,리뷰,하이라이트,SPO-2T,,잠실,-,"0,9"
491,2018,,17:00,LG3vs6SK,리뷰,하이라이트,SS-T,,문학,-,"0,9"
492,2018,,17:00,넥센vs삼성,,,KN-T,T-R,대구,우천취소,"0,9"
493,2018,,17:00,NC0vs1KT,리뷰,하이라이트,SPO-T,KNN-R,수원,-,"0,9"
494,2018,,17:00,롯데5vs6한화,리뷰,하이라이트,MS-TD-CMB,TJ-RKNN-RPM-R,대전,-,"0,9"
495,2018,07.01(일),18:00,KIAvs두산,,,SPO-2T,,잠실,우천취소,"0,9"
496,2018,,18:00,LGvsSK,,,SS-T,,문학,우천취소,"0,9"
497,2018,,18:00,넥센3vs1삼성,리뷰,하이라이트,KN-T,T-R,대구,-,"0,9"
498,2018,,18:00,NCvsKT,,,SPO-T,KNN-R,수원,우천취소,"0,9"
499,2018,,18:00,롯데vs한화,,,MS-TD-CMB,TJ-RKNN-RPM-R,대전,우천취소,"0,9"
500,2018,07.03(화),18:30,NC13vs6LG,리뷰,하이라이트,KN-T,KNN-R,잠실,-,"0,9"
501,2018,,18:30,두산vs롯데,,,SPO-2T,KNN-RPM-R,사직,우천취소,"0,9"
502,2018,,18:30,삼성vsKT,,,MS-T,T-R,수원,그라운드사정,"0,9"
503,2018,,18:30,한화2vs9KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
504,2018,,18:30,SK9vs3넥센,리뷰,하이라이트,SS-T,,고척,-,"0,9"
505,2018,07.04(수),18:30,NC3vs13LG,리뷰,하이라이트,KN-T,KNN-R,잠실,-,"0,9"
506,2018,,18:30,두산7vs4롯데,리뷰,하이라이트,SPO-2T,KNN-RPM-R,사직,-,"0,9"
507,2018,,18:30,삼성5vs6KT,리뷰,하이라이트,MS-T,T-R,수원,-,"0,9"
508,2018,,18:30,한화4vs6KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
509,2018,,18:30,SK6vs7넥센,리뷰,하이라이트,SS-T,,고척,-,"0,9"
510,2018,07.05(목),18:30,NC5vs3LG,리뷰,하이라이트,KN-T,KNN-R,잠실,-,"0,9"
511,2018,,18:30,두산9vs2롯데,리뷰,하이라이트,SPO-2T,KNN-RPM-R,사직,-,"0,9"
512,2018,,18:30,삼성2vs2KT,리뷰,하이라이트,MS-T,T-R,수원,-,"0,9"
513,2018,,18:30,한화8vs2KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
514,2018,,18:30,SK2vs3넥센,리뷰,하이라이트,SS-T,,고척,-,"0,9"
515,2018,07.06(금),18:30,삼성6vs13두산,리뷰,하이라이트,MS-T,T-R,잠실,-,"0,9"
516,2018,,18:30,한화0vs6SK,리뷰,하이라이트,SPO-2T,,문학,-,"0,9"
517,2018,,18:30,KT9vs11롯데,리뷰,하이라이트,KN-T,KNN-RPM-R,사직,-,"0,9"
518,2018,,18:30,LG4vs13KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
519,2018,,18:30,NC2vs6넥센,리뷰,하이라이트,SS-T,KNN-R,고척,-,"0,9"
520,2018,07.07(토),18:00,삼성3vs8두산,리뷰,하이라이트,MS-T,T-R,잠실,-,"0,9"
521,2018,,18:00,한화4vs5SK,리뷰,하이라이트,SPO-2T,,문학,-,"0,9"
522,2018,,18:00,KT9vs1롯데,리뷰,하이라이트,KN-T,KNN-RPM-R,사직,-,"0,9"
523,2018,,18:00,LG13vs10KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
524,2018,,18:00,NC4vs6넥센,리뷰,하이라이트,SS-T,KNN-R,고척,-,"0,9"
525,2018,07.08(일),18:00,삼성11vs1두산,리뷰,하이라이트,MS-T,T-R,잠실,-,"0,9"
526,2018,,18:00,한화5vs2SK,리뷰,하이라이트,SPO-2T,,문학,-,"0,9"
527,2018,,18:00,KT5vs10롯데,리뷰,하이라이트,KN-T,KNN-RPM-R,사직,-,"0,9"
528,2018,,18:00,LG8vs1KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
529,2018,,18:00,NC2vs1넥센,리뷰,하이라이트,SS-T,KNN-R,고척,-,"0,9"
530,2018,07.10(화),18:30,KIA6vs8NC,리뷰,하이라이트,SS-T,KNN-RGM-R,마산,-,"0,9"
531,2018,,18:30,SK10vs3LG,리뷰,하이라이트,SPO-T,,잠실,-,"0,9"
532,2018,,18:30,두산1vs9KT,리뷰,하이라이트,SPO-2T,,수원,-,"0,9"
533,2018,,18:30,넥센1vs4한화,리뷰,하이라이트,KN-TD-CMB,TJ-RTM-R,대전,-,"0,9"
534,2018,,18:30,롯데3vs6삼성,리뷰,하이라이트,MS-T,T-RKNN-RPM-R,포항,-,"0,9"
